model	subtask	rep	seconds	output_bytes
qwen3.6	1	1	8	156
qwen3.6	1	2	2	156
qwen3.6	1	3	2	156
qwen3.6	2	1	2	307
qwen3.6	2	2	2	307
qwen3.6	2	3	2	307
qwen3.6	3	1	6	1209
qwen3.6	3	2	6	1209
qwen3.6	3	3	6	1209
qwen3.6	4	1	4	623
qwen3.6	4	2	3	623
qwen3.6	4	3	4	623
coder-next	1	1	9	156
coder-next	1	2	2	156
coder-next	1	3	1	156
coder-next	2	1	2	307
coder-next	2	2	2	307
coder-next	2	3	2	307
coder-next	3	1	7	1244
coder-next	3	2	6	1244
coder-next	3	3	7	1244
coder-next	4	1	4	623
coder-next	4	2	4	623
coder-next	4	3	4	623
