model	task	rep	duration_ms	output_bytes
deepseek-r1	t1	1	13677	349
deepseek-r1	t1	2	3906	349
deepseek-r1	t1	3	4011	349
deepseek-r1	t2	1	7706	477
deepseek-r1	t2	2	5629	477
deepseek-r1	t2	3	6067	477
deepseek-r1	t3	1	6279	308
deepseek-r1	t3	2	4455	308
deepseek-r1	t3	3	4446	308
coder-next	t1	1	10625	302
coder-next	t1	2	1899	302
coder-next	t1	3	1900	302
coder-next	t2	1	4001	515
coder-next	t2	2	3174	515
coder-next	t2	3	3256	515
coder-next	t3	1	4107	490
coder-next	t3	2	3270	490
coder-next	t3	3	3215	490
